5000_q1,10000_q1,25000_q1,50000_q1,5000_q2,10000_q2,25000_q2,50000_q2,5000_q3,10000_q3,25000_q3,50000_q3,5000_q4,10000_q4,25000_q4,50000_q4,5000_q5,10000_q5,25000_q5,50000_q5
1.04E-04,5.00E-05,2.08E-05,1.04E-05,7.87E-05,5.30E-05,2.06E-05,9.83E-06,1.90E-05,2.05E-05,1.85E-05,1.03E-05,8.73E-06,1.44E-05,7.28E-06,3.54E-05,3.86E-06,1.67E-06,9.31E-07,9.21E-07
1.01E-04,4.97E-05,1.95E-05,1.01E-05,9.34E-05,4.41E-05,2.11E-05,9.23E-06,0.000118796,0.000109279,1.70E-05,8.14E-06,1.09E-05,0.000888923,8.76E-06,6.46E-06,1.52E-06,6.02E-06,1.95E-06,5.60E-07
9.34E-05,4.98E-05,1.93E-05,9.51E-06,0.000113194,5.25E-05,1.77E-05,1.01E-05,2.59E-05,0.000231432,4.69E-05,6.84E-06,3.25E-05,7.66E-06,1.11E-05,7.12E-06,8.30E-06,1.49E-06,1.97E-06,2.53E-06
9.65E-05,5.01E-05,2.08E-05,9.69E-06,9.37E-05,5.05E-05,1.89E-05,1.08E-05,3.24E-05,2.81E-05,1.88E-05,9.10E-06,1.57E-05,1.68E-05,6.23E-06,9.49E-06,1.32E-06,3.75E-06,0.000207102,1.28E-06
1.11E-04,4.71E-05,2.04E-05,1.02E-05,9.58E-05,5.73E-05,2.00E-05,1.11E-05,8.52E-05,2.84E-05,1.31E-05,8.34E-06,0.000145947,1.28E-05,3.62E-05,6.29E-06,1.87E-06,2.14E-06,3.49E-06,7.38E-06
1.03E-04,4.70E-05,1.97E-05,9.88E-06,7.78E-05,4.98E-05,1.92E-05,1.11E-05,2.84E-05,2.17E-05,1.79E-05,7.65E-06,0.000128624,9.09E-06,1.33E-05,7.29E-06,1.48E-05,2.00E-06,2.33E-06,1.31E-06
9.39E-05,4.94E-05,2.11E-05,9.95E-06,7.19E-05,5.31E-05,1.80E-05,9.97E-06,2.70E-05,3.87E-05,1.94E-05,1.30E-05,9.25E-06,2.53E-05,9.58E-06,6.85E-06,8.71E-07,6.17E-06,6.52E-07,1.68E-06
8.69E-05,4.98E-05,1.90E-05,9.12E-06,9.40E-05,5.96E-05,2.13E-05,9.43E-06,2.93E-05,2.23E-05,1.98E-05,1.67E-05,1.75E-05,5.03E-06,1.24E-05,6.83E-06,6.99E-06,7.90E-05,2.67E-06,6.30E-06
8.83E-05,4.84E-05,1.94E-05,9.87E-06,0.000108304,5.02E-05,2.27E-05,9.39E-06,2.01E-05,1.68E-05,2.00E-05,6.67E-06,1.34E-05,2.42E-05,2.42E-05,7.09E-06,1.11E-06,4.36E-06,4.42E-06,5.27E-06
1.03E-04,5.37E-05,2.09E-05,1.05E-05,9.82E-05,4.83E-05,2.07E-05,9.21E-06,5.08E-05,2.00E-05,2.33E-05,1.04E-05,2.16E-05,1.91E-05,9.61E-06,7.43E-06,6.49E-07,3.17E-06,2.86E-06,3.84E-06
1.03E-04,5.21E-05,2.03E-05,1.02E-05,7.73E-05,5.44E-05,2.01E-05,1.04E-05,3.82E-05,1.21E-05,1.20E-05,1.17E-05,3.79E-05,1.62E-05,1.34E-05,6.23E-06,1.84E-06,3.77E-06,3.04E-06,1.11E-05
9.54E-05,5.11E-05,1.92E-05,1.02E-05,9.16E-05,5.07E-05,2.09E-05,9.45E-06,3.18E-05,3.33E-05,1.85E-05,1.18E-05,1.24E-05,3.05E-05,7.66E-06,1.58E-05,1.79E-06,1.63E-06,3.25E-06,1.23E-06
