SPR,SPQ,s,Pq,Pr,l,m,median_total_cells,median_resistant_cells,median_transient_cells,median_total_resistant_cells,resistant_fraction,total_resistant_fraction,primary_metric,final_state,num_replicates,replicate_1_primary_metric,replicate_2_primary_metric,replicate_3_primary_metric,replicate_4_primary_metric,replicate_5_primary_metric,replicate_6_primary_metric,replicate_7_primary_metric,replicate_8_primary_metric,replicate_9_primary_metric,replicate_10_primary_metric
2.0,2.0,0.05,0.006766764161830635,0.006766764161830635,0.006766764161830635,5.93886462882096e-07,4101736222.0,4094654163.5,4228707.5,4098882871.0,0.9982733998198092,0.9993043553155135,0.9993043553155135,relapsed,10,0.998928575702593,0.9991106168110142,0.9989450349456364,0.9986872412708745,0.9990583383047409,0.9991698218028787,0.9987932929340432,0.9990866945125658,0.9989552263564118,0.9989431021861147
2.0,2.5,0.05,0.00410424993119494,0.006766764161830635,0.00410424993119494,5.93886462882096e-07,4100754763.0,4084075411.5,9070522.0,4093145933.5,0.9959326142468959,0.9981445294976787,0.9981445294976787,relapsed,10,0.997473892361196,0.9972383872491596,0.9978397135783509,0.9974305583755771,0.9971935284487723,0.9975160630314416,0.99795911698691,0.9980905453537959,0.9985229887301421,0.9966979047305349
2.0,3.0,0.05,0.0024893534183931974,0.006766764161830635,0.0024893534183931974,5.93886462882096e-07,4129939784.0,4106214315.5,14620854.0,4120835169.5,0.9942552507443533,0.9977954607146398,0.9977954607146398,relapsed,10,0.9945254852522024,0.9948619836713752,0.9925280886280807,0.9947861720391183,0.9948178350356591,0.9945253092466632,0.9962989767961923,0.9959447373878378,0.9970344826145453,0.9958341983291971
2.0,3.5,0.05,0.0015098691711159253,0.006766764161830635,0.0015098691711159253,5.93886462882096e-07,4113071264.5,4071105697.0,14278814.5,4085384511.5,0.9897970239751969,0.9932685938999003,0.9932685938999003,relapsed,10,0.9926786406083301,0.9910441925352325,0.9940715669402739,0.9928622560737248,0.9923287828929709,0.9936630101234136,0.9939019907682397,0.9933737077434325,0.9914920869363114,0.9919977544687143
2.0,4.0,0.05,0.0009157819444367091,0.006766764161830635,0.0009157819444367091,5.93886462882096e-07,4069387138.0,3997681310.5,14355027.5,4012036338.0,0.9823792072200725,0.9859067721858022,0.9859067721858022,relapsed,10,0.9892739138082556,0.9897213407619248,0.9903935995679768,0.9902791101075908,0.9889429984811436,0.9242622413416928,0.9889167914016834,0.988785918268344,0.9939622417758334,0.9868000675705088
2.0,4.5,0.05,0.0005554498269121153,0.006766764161830635,0.0005554498269121153,5.93886462882096e-07,4095410799.5,4027844518.5,10446016.5,4038290535.0,0.9835019527202865,0.9860526166246928,0.9860526166246928,relapsed,10,0.9897278920335766,0.9855165598093218,0.9878402264011467,0.9792997801818965,0.9884362737269412,0.9256490464294865,0.9964159977032095,0.9641744225186328,0.9869078687669897,0.985884169467261
2.0,5.0,0.05,0.00033689734995427336,0.006766764161830635,0.00033689734995427336,5.93886462882096e-07,4136647092.5,4049631345.5,6886119.5,4056517465.0,0.9789646675062601,0.9806293295733929,0.9806293295733929,relapsed,10,0.9875074626485446,0.9868158087475642,0.9817435255991572,0.9336644520055947,0.9852967582761951,0.9850338215049168,0.9875915236916634,0.9838470459813872,0.9876471999591221,0.9907569141409391
2.0,5.5,0.05,0.00020433857192320336,0.006766764161830635,0.00020433857192320336,5.93886462882096e-07,4104977778.5,4031804503.0,4615489.5,4036419992.5,0.9821745014350021,0.9832988654995711,0.9832988654995711,relapsed,10,0.9811857563202765,0.9837763858895056,0.9881802115904823,0.9836889492190647,0.9837163990739829,0.9818151549449756,0.9850115114847698,0.9712858895317441,0.9872594821300962,0.9934373955798874
2.0,6.0,0.05,0.00012393760883331792,0.006766764161830635,0.00012393760883331792,5.93886462882096e-07,4067609337.5,4010678506.5,2630405.0,4013308911.5,0.9860038596934212,0.9866505306939398,0.9866505306939398,relapsed,10,0.9824791520531195,0.9835095307316644,0.9847993157294515,0.9723081387661527,0.9863450516002548,0.9819290723989746,0.9919092594960253,0.9724407574406538,0.9875793726647871,0.9469485348660525
2.0,6.5,0.05,7.517195964887863e-05,0.006766764161830635,7.517195964887863e-05,5.93886462882096e-07,4134844092.0,4055793226.5,1907481.5,4057700708.0,0.980881778431998,0.9813430972768102,0.9813430972768102,relapsed,10,0.9829664128939013,0.9849201386780132,0.9825666519047019,0.9592638588061542,0.9738391064718883,0.9811077772478248,0.9797500894939792,0.9888325144098524,0.9818603622293087,0.9843603728128876
2.0,7.0,0.05,4.559409827772582e-05,0.006766764161830635,4.559409827772582e-05,5.93886462882096e-07,4108092317.5,4042713995.5,928354.0,4043642349.5,0.9840854788677713,0.9843114606442872,0.9843114606442872,relapsed,10,0.980034122312689,0.9847067649173203,0.9843260518450854,0.9807855375639477,0.9837176016899144,0.9827861704955404,0.9849333635456111,0.9871143263677467,0.9835708620245578,0.9902451460690017
2.0,7.5,0.05,2.765421850739168e-05,0.006766764161830635,2.765421850739168e-05,5.93886462882096e-07,4072829716.5,3997747812.5,637888.0,3998385700.5,0.981565174773739,0.9817217951198869,0.9817217951198869,relapsed,10,0.9814616962384377,0.9853047903727509,0.9898479634889064,0.9771772560400568,0.9826810638662482,0.9847003340318485,0.9819871841230745,0.9814232924591564,0.9653672105768504,0.984840889948461
