SPR,PQR,s,Pq,Pr,l,m,median_total_cells,median_resistant_cells,median_transient_cells,median_total_resistant_cells,resistant_fraction,total_resistant_fraction,primary_metric,final_state,num_replicates,replicate_1_primary_metric,replicate_2_primary_metric,replicate_3_primary_metric,replicate_4_primary_metric,replicate_5_primary_metric,replicate_6_primary_metric,replicate_7_primary_metric,replicate_8_primary_metric,replicate_9_primary_metric,replicate_10_primary_metric
2.5,-5.0,0.1,5.5308437014783356e-05,0.00820849986238988,5.5308437014783356e-05,5.714285714285714e-07,4300315683.0,4282428075.0,12913011.0,4295341086.0,0.9958403965386278,0.998843201902673,0.0030062830265302942,relapsed,10,0.0028742136319807985,0.0029523617782302447,0.002790295674509861,0.0028443220988603247,0.0031603691707323277,0.0028532671079841976,0.0028639580779076263,0.0032795076326805903,0.003500914873397156,0.0027976339638560274
2.5,-4.75,0.1,7.101743888425491e-05,0.00820849986238988,7.101743888425491e-05,5.714285714285714e-07,4279058345.5,4259539585.0,15970595.5,4275510180.5,0.9954385383596074,0.9991708070529743,0.0037353660325356347,relapsed,10,0.0036278756042797656,0.003681587237427629,0.004223355143117871,0.003630770115067077,0.003932839635291543,0.0036245824880296483,0.004135149847226244,0.0036775121674897326,0.003636512466753391,0.003799692062697611
2.5,-4.5,0.1,9.118819655545161e-05,0.00820849986238988,9.118819655545161e-05,5.714285714285714e-07,4222235451.0,4198651042.5,19814096.5,4218465139.0,0.9944142365404056,0.9991070341662005,0.004696991879064572,relapsed,10,0.004556113527431746,0.004690435253204085,0.004754738138648248,0.004671168999495717,0.00467261097826502,0.004658868586892975,0.004600938706793319,0.004649706474618752,0.004893840156665945,0.005078544634912671
2.5,-4.25,0.1,0.00011708796207911743,0.00820849986238988,0.00011708796207911743,5.714285714285714e-07,4280744991.0,4251476983.5,25227869.5,4276704853.0,0.9931628705840843,0.9990562068031396,0.005898903564108075,relapsed,10,0.005949125732222438,0.005902490485622706,0.006964771945033667,0.005845079343639763,0.006458263746273172,0.005854067404766233,0.005817874906702034,0.0027133824086109,0.0058778013153877135,0.006373513377922148
2.5,-4.0,0.1,0.00015034391929775722,0.00820849986238988,0.00015034391929775722,5.714285714285714e-07,4297725046.5,4261275625.5,33555937.0,4294831562.5,0.9915189034650591,0.9993267405502462,0.007813097326794175,relapsed,10,0.007737200908046629,0.007614876672681834,0.0103040742176745,0.008039688488993104,0.007496687517115731,0.010041793577035711,0.007484429419438406,0.007516483821190365,0.007926741236050838,0.007413278974815086
2.5,-3.75,0.1,0.00019304541362277091,0.00820849986238988,0.00019304541362277091,5.714285714285714e-07,4212734565.0,4168510023.5,40524888.0,4209034911.5,0.9895021770734326,0.9991217928775439,0.009628071244854059,relapsed,10,0.009400372445169933,0.009615981303179833,0.009957602761733238,0.0097382195939083,0.009594214345220817,0.009484939485811474,0.010705265957107102,0.009640715775115218,0.011164555396096211,0.009465016423292458
2.5,-3.5,0.1,0.00024787521766663585,0.00820849986238988,0.00024787521766663585,5.714285714285714e-07,4220363422.5,4153436316.0,54253741.5,4207690057.5,0.9841418617782555,0.9969970915460895,0.012893949116640704,relapsed,10,0.01216818473155847,0.01219879595595253,0.01329582274205273,0.01208478757928419,0.012263365210044437,0.01458510567145908,0.016747968467976677,0.012100198418495056,0.012814365007003283,0.013696948401698753
2.5,-3.25,0.1,0.00031827807965096667,0.00820849986238988,0.00031827807965096667,5.714285714285714e-07,4315510388.5,4241392073.5,67995515.5,4309387589.0,0.9828251334540844,0.9985812108073436,0.01577846366698672,relapsed,10,0.0156579621485136,0.016063782462592057,0.015257870287275176,0.016490916329181288,0.016756905058235426,0.017432939566197528,0.016136490240538662,0.015230784668099807,0.015319185083851009,0.015296242335722465
2.5,-3.0,0.1,0.0004086771438464067,0.00820849986238988,0.0004086771438464067,5.714285714285714e-07,4331640924.0,4243865401.0,84960313.5,4328825714.5,0.9797361959266594,0.9993500824400282,0.01962664221278618,relapsed,10,0.019400211153844178,0.019276421029840105,0.01930190405228347,0.02011438556281816,0.019425697896676992,0.019381904486713127,0.019201373687458997,0.02383723722409138,0.01914860031056145,0.019502343901285128
2.5,-2.75,0.1,0.0005247518399181384,0.00820849986238988,0.0005247518399181384,5.714285714285714e-07,4261076095.0,4135112640.5,107437900.0,4242550540.5,0.9704385813133432,0.995652376515468,0.02532389395821742,relapsed,10,0.02503024155001924,0.024118948087772853,0.028105479580113536,0.024377508802391146,0.024104490799473965,0.024124580681204762,0.024932756403028812,0.02410526772736813,0.030288475642006745,0.024624860770716347
2.5,-2.5,0.1,0.0006737946999085467,0.00820849986238988,0.0006737946999085467,5.714285714285714e-07,4327857110.0,4177505774.0,135811087.0,4313316861.0,0.9652596349235754,0.9966403121382166,0.03148646189849209,relapsed,10,0.030751753626730445,0.0331398484166148,0.03168051417249529,0.029763173234873864,0.038977225689628255,0.030694397441771288,0.030752116107390867,0.03088665669967749,0.03441890568801876,0.03111566481125535
2.5,-2.25,0.1,0.0008651695203120633,0.00820849986238988,0.0008651695203120633,5.714285714285714e-07,4199922350.0,4022607774.5,167966310.0,4190574084.5,0.9577814633882458,0.9977741813488528,0.040081933074819026,relapsed,10,0.04057736911909176,0.03861385307728313,0.03819582666426173,0.03685745597847017,0.04167469802346205,0.03723494331306859,0.049584684509498864,0.043502291097410196,0.03884986698210255,0.0381836527161787
2.5,-2.0,0.1,0.0011108996538242307,0.00820849986238988,0.0011108996538242307,5.714285714285714e-07,4178687856.0,3970153589.5,199898532.5,4170052122.0,0.9500957540533748,0.997933386197392,0.04793669878738269,relapsed,10,0.04666053442166616,0.05366691663956966,0.05445282710179983,0.046636566149179305,0.0469278266837495,0.06540350009401577,0.04679375830089102,0.04945149841679293,0.046229172971615655,0.0469840048757167
2.5,-1.75,0.1,0.0014264233908999255,0.00820849986238988,0.0014264233908999255,5.714285714285714e-07,4253544208.5,3988543163.5,250228682.0,4238771845.5,0.93769876789562,0.996527046087712,0.05903329811573837,relapsed,10,0.057582303794761175,0.058467232975165775,0.06258969871384325,0.06503200718508234,0.05586247563875287,0.06416451856698112,0.05969437447383437,0.0558322802270523,0.06367589215432451,0.0781947833685748
2.5,-1.5,0.1,0.0018315638888734178,0.00820849986238988,0.0018315638888734178,5.714285714285714e-07,4234713232.0,3907751732.5,288202719.0,4195954451.5,0.9227901674594432,0.9908473659545313,0.06868585498991087,relapsed,10,0.06840085887621018,0.06685989191788888,0.08744558399924401,0.06815280160937119,0.06757473398901298,0.06886837769546389,0.10122209941515621,0.06864515848746344,0.0683116861312252,0.07049746520268936
