SPR,PQR,primary_metric_file1,primary_metric_file2
2.5,-5.0,0.0010098211468416,0.0010652716897129
2.5,-4.75,0.001294485894764,0.0013598083131315
2.5,-4.5,0.0018439413667827,0.0014048994722207
2.5,-4.25,0.0024483851633102,0.0021925813687786
2.5,-4.0,0.0031510436701202,0.0029558023005716
2.5,-3.75,0.0036913210136709,0.0036871343175587
2.5,-3.5,0.0051222821176821,0.0047288775162488
2.5,-3.25,0.0066101971868098,0.0059586168993932
2.5,-3.0,0.0081453759894586,0.0078059598361099
2.5,-2.75,0.0093080534758036,0.0088746313080125
2.5,-2.5,0.0114915432484743,0.0115040473601139
2.5,-2.25,0.0161251897316326,0.01384595768384
2.5,-2.0,0.0162136257759739,0.0170732884935653
2.5,-1.75,0.0205734341913902,0.0199663768596786
2.5,-1.5,0.023683929808959,0.0229196330669124
2.5,-1.25,0.0265706776547018,0.0247349508720354
2.5,-1.0,0.0269743575973323,0.0264093873543806
2.5,-0.75,0.0296759784659122,0.0257046470605224
2.5,-0.5,0.0273734953937281,0.0248064612577269
2.5,-0.25,0.0232786386692163,0.0217258846962709
2.5,0.0,0.0182538244146857,0.0175417411219007
2.75,-5.0,0.0016313251056368,0.0014828017240898
2.75,-4.75,0.002023958322828,0.0018679798007749
2.75,-4.5,0.0028850184384775,0.0027923373561285
2.75,-4.25,0.0043227160735629,0.0029811127835804
2.75,-4.0,0.0045273843815474,0.0039349731864557
2.75,-3.75,0.00644079972373,0.0052916047420574
2.75,-3.5,0.0070970271947657,0.0075233544509787
2.75,-3.25,0.0106765560589417,0.0088587717266568
2.75,-3.0,0.0121382286260987,0.0120863089562537
2.75,-2.75,0.0145424288060068,0.0157627460374713
2.75,-2.5,0.018878341015195,0.0167142812592489
2.75,-2.25,0.0236584344221187,0.0213718997756223
2.75,-2.0,0.0286772136276147,0.0277606121745483
2.75,-1.75,0.0339006943925629,0.0329692502164449
2.75,-1.5,0.0390877163364064,0.03847167235331
2.75,-1.25,0.0461766930836088,0.0431436383226018
2.75,-1.0,0.051592616609,0.0450822914070484
2.75,-0.75,0.0536887349006689,0.0526182975581773
2.75,-0.5,0.0544132866761695,0.0512710621307499
2.75,-0.25,0.0531472569671964,0.0486873562467243
2.75,0.0,0.0468360406086417,0.0425279482762838
2.75,0.25,0.038786995922186,0.0363134314928116
3.0,-5.0,0.0024985197281576,0.0019439339137836
3.0,-4.75,0.0033859255173508,0.0027502011359663
3.0,-4.5,0.0039066983699568,0.003368672481632
3.0,-4.25,0.0058185038284698,0.0054393339909499
3.0,-4.0,0.0071600253586511,0.0054478279913448
3.0,-3.75,0.0085243263215396,0.0084420503434458
3.0,-3.5,0.0104129588470989,0.0096125397811809
3.0,-3.25,0.0132098029796787,0.0126360133649908
3.0,-3.0,0.0160681229153796,0.0164485639328433
3.0,-2.75,0.0210294176331206,0.0207465109473507
3.0,-2.5,0.027442859261382,0.024278819218611
3.0,-2.25,0.0349957154889248,0.0321842194606598
3.0,-2.0,0.0423513863112478,0.0423240595695181
3.0,-1.75,0.0472253878747135,0.0466364188691921
3.0,-1.5,0.0642372663166057,0.0564884805744047
3.0,-1.25,0.0662309977890453,0.0673255403451519
3.0,-1.0,0.0800117551174172,0.0762129524804656
3.0,-0.75,0.0909047561970452,0.0839073429551024
3.0,-0.5,0.095511093304882,0.0876023090730298
3.0,-0.25,0.0977802174519884,0.0900479075900139
3.0,0.0,0.1006972001772861,0.0947913355913235
3.0,0.25,0.0809569162013949,0.0796039134785819
3.0,0.5,0.0723562080968692,0.0644503777353159
3.25,-5.0,0.0027796515808256,0.0030442563610258
3.25,-4.75,0.0037711737586462,0.0031923920049565
3.25,-4.5,0.0045440505599554,0.0043327120630722
3.25,-4.25,0.0064407103376252,0.0053047876840989
3.25,-4.0,0.0080365463515151,0.0090927526737989
3.25,-3.75,0.0104201002358407,0.0088507353320373
3.25,-3.5,0.0124336170782494,0.0137327911422566
3.25,-3.25,0.0155345971570346,0.0165177334912454
3.25,-3.0,0.0231104498981592,0.0207699187392588
3.25,-2.75,0.0256484432531316,0.025191450172883
3.25,-2.5,0.0376154457907937,0.0335468059926834
3.25,-2.25,0.0436119999739957,0.0437481172452169
3.25,-2.0,0.0554343972274699,0.0475797481076309
3.25,-1.75,0.0650655866348249,0.0617424421817912
3.25,-1.5,0.0797120849248678,0.073021680496312
3.25,-1.25,0.0955221172084728,0.0813693483317926
3.25,-1.0,0.1104954753600472,0.1034435111126945
3.25,-0.75,0.1257859565909429,0.1153507162778707
3.25,-0.5,0.1359119251945147,0.128076963965449
3.25,-0.25,0.1438529026732184,0.1309754027877647
3.25,0.0,0.1508786988418731,0.1428842382204196
3.25,0.25,0.1469037168942052,0.1314982380272879
3.25,0.5,0.1347391480654893,0.1222554201046325
3.25,0.75,0.1123503796810436,0.0987311677401903
3.5,-5.0,0.0034778032385054,0.0035920178654478
3.5,-4.75,0.0047608196882923,0.003894266050399
3.5,-4.5,0.0050424359851592,0.0059290904218167
3.5,-4.25,0.0081849349840125,0.006683056066523
3.5,-4.0,0.0104567616460153,0.0097290169382478
3.5,-3.75,0.0127653598460777,0.0104312634496123
3.5,-3.5,0.0167511090538516,0.0140769702496154
3.5,-3.25,0.0205364288343049,0.0186917535895697
3.5,-3.0,0.0255658989459225,0.0261870963701471
3.5,-2.75,0.0337822058803525,0.0293911206315556
3.5,-2.5,0.0436230826892295,0.0363916305765981
3.5,-2.25,0.0578288968900128,0.0496730457980171
3.5,-2.0,0.0646334586417662,0.0611161450870007
3.5,-1.75,0.0779142115735814,0.0749093502981609
3.5,-1.5,0.0962657510473383,0.0946171073814794
3.5,-1.25,0.1139086246114165,0.1124460336303556
3.5,-1.0,0.1414137963293041,0.1337666665008885
3.5,-0.75,0.1611969021754011,0.1702552940671403
3.5,-0.5,0.1753703653693107,0.1612810262207991
3.5,-0.25,0.1972677678615621,0.1834492572507304
3.5,0.0,0.2180085902082841,0.1854887462346531
3.5,0.25,0.2109151276677981,0.2023104338564159
3.5,0.5,0.2114192120118692,0.1975940319042721
3.5,0.75,0.1974860992946473,0.185315706393917
3.5,1.0,0.1546358112404678,0.1597544325657499
3.75,-5.0,0.0036200221420157,0.004672721074702
3.75,-4.75,0.0045200965342116,0.0045747167199102
3.75,-4.5,0.0058547846943818,0.0062452750167078
3.75,-4.25,0.0074803498690148,0.007508924227154
3.75,-4.0,0.0129424474838982,0.0107087038788275
3.75,-3.75,0.0151986851251716,0.0139259191475238
3.75,-3.5,0.0175276439678694,0.0169852386663768
3.75,-3.25,0.0230477556312795,0.0205852154740734
3.75,-3.0,0.0312152284567141,0.028068643337447
3.75,-2.75,0.0374711921920069,0.035878365624914
3.75,-2.5,0.0531693125745146,0.0448779345995477
3.75,-2.25,0.0570285333323048,0.0552289274750187
3.75,-2.0,0.0697447824945208,0.072233627046402
3.75,-1.75,0.0932301016721804,0.0858893018397809
3.75,-1.5,0.1067718850129423,0.1027406566324092
3.75,-1.25,0.1280999404706753,0.1168417645958913
3.75,-1.0,0.1520596787226902,0.1532734355240972
3.75,-0.75,0.1887758912336372,0.1776491175735168
3.75,-0.5,0.2133219746269181,0.2033359623046998
3.75,-0.25,0.2418062626927795,0.2382956091574923
3.75,0.0,0.2695708549586234,0.2546532044209455
3.75,0.25,0.2850634468883241,0.2630281881196035
3.75,0.5,0.2853226468355797,0.2758283585020973
3.75,0.75,0.2709053522767736,0.2799720298235686
3.75,1.0,0.2723193185266765,0.247396742601513
3.75,1.25,0.2281114818795167,0.209625073488316
4.0,-5.0,0.0037982052943632,0.0038471079618119
4.0,-4.75,0.0050082253726299,0.004670168930872
4.0,-4.5,0.0072657193751027,0.0062219588218728
4.0,-4.25,0.0099158348394248,0.0091229011674751
4.0,-4.0,0.0117400617356457,0.0111437745404286
4.0,-3.75,0.0163882630831639,0.0144615317719637
4.0,-3.5,0.0208741119333469,0.0194631352708436
4.0,-3.25,0.0243031700712151,0.0225112184585708
4.0,-3.0,0.0310391049780807,0.0278695754002994
4.0,-2.75,0.0379375551029166,0.0414984201483497
4.0,-2.5,0.0499975098875534,0.0515614955801516
4.0,-2.25,0.0643867328654811,0.0612842029426598
4.0,-2.0,0.0846794644071704,0.0768725924289078
