SPR,PQR,s,Pq,Pr,l,m,median_total_cells,median_resistant_cells,median_transient_cells,median_total_resistant_cells,resistant_fraction,total_resistant_fraction,primary_metric,final_state,num_replicates,replicate_1_primary_metric,replicate_2_primary_metric,replicate_3_primary_metric,replicate_4_primary_metric,replicate_5_primary_metric,replicate_6_primary_metric,replicate_7_primary_metric,replicate_8_primary_metric,replicate_9_primary_metric,replicate_10_primary_metric
2.5,-5.0,0.1,5.5308437014783356e-05,0.00820849986238988,5.5308437014783356e-05,5.714285714285714e-07,4126520573.5,1164972002.5,4836258.0,1169808260.5,0.28231338769550907,0.28348538185229527,0.004134231363636366,relapsed,10,0.004047547804548628,0.004113129141417656,0.004170076710975488,0.004120504101263127,0.004153773478620637,0.004101297428167371,0.004300160353420792,0.004075656955650361,0.004880508251118931,0.004130535096719779
2.5,-4.75,0.1,7.101743888425491e-05,0.00820849986238988,7.101743888425491e-05,5.714285714285714e-07,4106554079.5,1173835318.0,6191779.5,1180027097.5,0.2858443588652124,0.28735213871667215,0.005247150267242063,relapsed,10,0.00534240787836309,0.005955138744363983,0.005388690266826469,0.005207174998612714,0.005235788441210664,0.005206624946881177,0.005213588372864871,0.005220795856252664,0.005281920170763337,0.005295607862043874
2.5,-4.5,0.1,9.118819655545161e-05,0.00820849986238988,9.118819655545161e-05,5.714285714285714e-07,4226756119.0,1193743977.5,8121609.5,1201865587.0,0.28242556321948986,0.284347038996976,0.0067575023262563885,relapsed,10,0.006625893428185466,0.006715224334795901,0.006870595131266847,0.0068006753254090235,0.0067240978516919445,0.006730420388180083,0.00680745486636125,0.0066639192066733546,0.006714734744524911,0.006669272591594778
2.5,-4.25,0.1,0.00011708796207911743,0.00820849986238988,0.00011708796207911743,5.714285714285714e-07,4083686858.0,1170154273.5,10116435.5,1180270709.0,0.28654358529172025,0.28902086522325604,0.008571284047683675,relapsed,10,0.008650040932274783,0.008570969539549028,0.008526577823609863,0.00856641617946313,0.008638708783097828,0.008560246786206652,0.00870576474790539,0.008536228200262886,0.009080235342842085,0.008582362718449775
2.5,-4.0,0.1,0.00015034391929775722,0.00820849986238988,0.00015034391929775722,5.714285714285714e-07,4208233260.0,1202764167.5,13144508.5,1215908676.0,0.2858121432888442,0.2889356651299315,0.010810440586082305,relapsed,10,0.010834659371669612,0.012437114626583033,0.010915811399057831,0.011414293188364349,0.011116236056802514,0.010850087998392202,0.010947358587844248,0.010139826448461547,0.010777238630477916,0.011135510381152713
2.5,-3.75,0.1,0.00019304541362277091,0.00820849986238988,0.00019304541362277091,5.714285714285714e-07,4126943933.0,1166942499.5,16451458.5,1183393958.0,0.28276189801583135,0.2867482517844034,0.013901928760734808,relapsed,10,0.013951058134685017,0.016743502510599046,0.01385285808165594,0.013881895518838791,0.014018337624337763,0.014333601628154806,0.013888540393157326,0.013858049434500468,0.014024173038790916,0.01629366396120095
2.5,-3.5,0.1,0.00024787521766663585,0.00820849986238988,0.00024787521766663585,5.714285714285714e-07,4166449387.5,1213822495.5,21948795.0,1235771290.5,0.291332591040625,0.2966005765502654,0.017761211292681347,relapsed,10,0.01811873449803257,0.01783868404124987,0.017520282890065166,0.017643220437417312,0.0177891275310123,0.01776298135726727,0.01778714783987139,0.017839374077505597,0.01773892077053757,0.01884129193484143
2.5,-3.25,0.1,0.00031827807965096667,0.00820849986238988,0.00031827807965096667,5.714285714285714e-07,4077554778.0,1181526193.0,27268542.5,1208794735.5,0.28976341393984334,0.29645088817001786,0.022558455707304824,relapsed,10,0.023018518392499538,0.022588578705331225,0.022190047405483866,0.02345601098241928,0.02265663456884837,0.022528662513341485,0.022191628201037768,0.022380423889014733,0.02260500409450732,0.02475449243388499
2.5,-3.0,0.1,0.0004086771438464067,0.00820849986238988,0.0004086771438464067,5.714285714285714e-07,4235508806.5,1221751734.0,35662271.5,1257414005.5,0.28845453753396655,0.2968743692777398,0.02836159876063986,relapsed,10,0.028285650454858237,0.028295199481789553,0.028091028909484596,0.02851789599306522,0.028741572197700932,0.030079652678479195,0.028334081666995498,0.028352039272901843,0.033538233842636364,0.028188782475032634
2.5,-2.75,0.1,0.0005247518399181384,0.00820849986238988,0.0005247518399181384,5.714285714285714e-07,4231708971.5,1265630567.5,46459174.0,1312089741.5,0.2990826108373365,0.31006143152488763,0.0354085338300772,relapsed,10,0.0356761884011398,0.04416617798835815,0.03552850628751405,0.03531277166505642,0.03538696356074649,0.03666460270309955,0.03657307858078382,0.03560757819239978,0.035384316564129305,0.03567764266468281
2.5,-2.5,0.1,0.0006737946999085467,0.00820849986238988,0.0006737946999085467,5.714285714285714e-07,4142839098.5,1208261824.5,56806106.5,1265067931.0,0.29165067620837026,0.3053625547412748,0.044903601702318385,relapsed,10,0.04599623030966926,0.04697836580192887,0.0446251574185472,0.04571038361028987,0.045193865475390504,0.04455498505424909,0.04417375716907305,0.04509782229120519,0.04560127466116738,0.04450900143707847
2.5,-2.25,0.1,0.0008651695203120633,0.00820849986238988,0.0008651695203120633,5.714285714285714e-07,4237406860.0,1245410847.0,73336791.5,1318747638.5,0.2939087248751941,0.31121572274511305,0.05561093673950871,relapsed,10,0.06932879536966893,0.05688568793469495,0.054818742938472366,0.055463589764753046,0.06392183415917116,0.05507631294618855,0.05481686269412985,0.057935071762709026,0.05556506152720337,0.05511429078910102
