K,Id,Parent,ParentType,N,Ns,Nr,Nq,T
0,0,-1,Sens,384624248,201214,0,384423034,2902
1311,66,0,S,1670010478,864971,0,1669145507,2902
1447,240,0,S,1999508738,1038947,0,1998469791,2902
2322,30821,0,Q,2703180,1389,0,2701791,2902
2349,30829,0,Q,1391771,734,0,1391037,2902
2373,30840,0,Q,105986,48,0,105938,2902
2419,30870,0,Q,1310096,691,0,1309405,2902
2464,30901,0,Q,43127,17,0,43110,2902
2490,30933,0,Q,75214,47,0,75167,2902
2535,31021,0,Q,32514,18,0,32496,2902
2539,31035,66,Q,4024193,2069,0,4022124,2902
2540,31037,0,Q,67646,31,0,67615,2902
2543,31046,0,Q,53666,21,0,53645,2902
2555,31073,0,Q,47012,27,0,46985,2902
2555,31076,0,Q,9859,1,0,9858,2902
2560,31093,0,Q,85169,67,0,85102,2902
2562,31096,0,Q,24552,5,0,24547,2902
2566,31116,66,Q,332077,205,0,331872,2902
2568,31125,0,Q,10322,4,0,10318,2902
2568,31128,240,Q,1180965,561,0,1180404,2902
2573,31146,0,Q,3147,1,0,3146,2902
2577,31159,0,Q,8659,1,0,8658,2902
2577,31160,66,Q,1001358,477,0,1000881,2902
2581,31179,240,Q,354907,156,0,354751,2902
2583,31188,240,Q,235656,113,0,235543,2902
2584,31191,0,Q,1205,2,0,1203,2902
2600,31279,0,Q,37475,16,0,37459,2902
2601,31283,66,Q,371889,185,0,371704,2902
2601,31284,240,Q,951070,547,0,950523,2902
2602,31289,0,Q,3434,1,0,3433,2902
2607,31317,0,Q,2933,3,0,2930,2902
2609,31328,0,Q,30799,8,0,30791,2902
2612,31350,0,Q,11975,7,0,11968,2902
2613,31362,66,Q,138467,66,0,138401,2902
2618,31405,240,Q,140572,85,0,140487,2902
2619,31407,0,Q,9293,3,0,9290,2902
2619,31414,0,Q,2763,1,0,2762,2902
2621,31424,0,Q,796,0,0,796,2902
2623,31449,0,Q,10102,5,0,10097,2902
2623,31451,0,Q,8371,6,0,8365,2902
2623,31453,0,Q,11511,10,0,11501,2902
2626,31480,240,Q,57240,36,0,57204,2902
2627,31489,240,Q,56288,24,0,56264,2902
2629,31504,0,Q,11894,2,0,11892,2902
2630,31517,240,Q,72249,30,0,72219,2902
2630,31518,240,Q,98750,43,0,98707,2902
2631,31520,0,Q,5698,0,0,5698,2902
2631,31528,240,Q,48585,19,0,48566,2902
2633,31537,0,Q,8605,7,0,8598,2902
2633,31544,240,Q,9421,7,0,9414,2902
2638,31576,0,Q,991,1,0,990,2902
2639,31583,0,Q,779,1,0,778,2902
2639,31584,0,Q,2843,5,0,2838,2902
2640,31598,240,Q,59695,43,0,59652,2902
2647,31658,66,Q,28380,10,0,28370,2902
2647,31660,240,Q,28126,6,0,28120,2902
2648,31672,66,Q,109300,48,0,109252,2902
2649,31679,66,Q,11403,0,0,11403,2902
2649,31681,240,Q,30024,13,0,30011,2902
2652,31711,66,Q,63579,27,0,63552,2902
2654,31733,66,Q,4224,1,0,4223,2902
2655,31748,240,Q,11901,13,0,11888,2902
2657,31764,0,Q,1313,0,0,1313,2902
2658,31776,0,Q,11070,5,0,11065,2902
2660,31800,0,Q,4100,1,0,4099,2902
2662,31828,0,Q,193,0,0,193,2902
2662,31831,240,Q,847,0,0,847,2902
2663,31835,0,Q,30494,18,0,30476,2902
2664,31846,0,Q,4385,3,0,4382,2902
2664,31854,0,Q,3705,2,0,3703,2902
2666,31878,66,Q,14304,10,0,14294,2902
2670,31932,0,Q,2346,1,0,2345,2902
2671,31950,0,Q,3803,0,0,3803,2902
2672,31975,240,Q,2104,0,0,2104,2902
2673,31980,0,Q,596,0,0,596,2902
2673,31983,0,Q,3659,1,0,3658,2902
2674,31998,66,Q,15045,17,0,15028,2902
2675,32010,0,Q,473,1,0,472,2902
2675,32024,66,Q,3144,0,0,3144,2902
2677,32062,240,Q,31473,21,0,31452,2902
2677,32064,240,Q,13927,10,0,13917,2902
2678,32071,0,Q,2006,3,0,2003,2902
2678,32073,0,Q,2700,1,0,2699,2902
2678,32083,240,Q,34895,16,0,34879,2902
2679,32096,66,Q,9630,5,0,9625,2902
2679,32097,66,Q,3691,5,0,3686,2902
2680,32111,0,Q,482,2,0,480,2902
2680,32113,0,Q,2838,2,0,2836,2902
2681,32135,66,Q,18447,8,0,18439,2902
2682,32143,0,Q,4353,4,0,4349,2902
2682,32148,66,Q,3496,1,0,3495,2902
2684,32181,66,Q,15114,1,0,15113,2902
2686,32218,240,Q,18807,12,0,18795,2902
2687,32219,0,Q,1994,0,0,1994,2902
2687,32224,0,Q,576,0,0,576,2902
2688,32248,0,Q,555,0,0,555,2902
2689,32256,0,Q,1004,1,0,1003,2902
2689,32259,0,Q,3044,1,0,3043,2902
2689,32262,0,Q,1674,3,0,1671,2902
2690,32278,0,Q,185,0,0,185,2902
2691,32308,66,Q,1050,0,0,1050,2902
2691,32314,240,Q,13392,6,0,13386,2902
2692,32333,0,Q,2822,6,0,2816,2902
2693,32362,66,Q,2596,1,0,2595,2902
2694,32381,0,Q,6725,2,0,6723,2902
2694,32398,240,Q,13270,5,0,13265,2902
2695,32415,66,Q,16227,7,0,16220,2902
2696,32434,66,Q,5435,6,0,5429,2902
2696,32442,240,Q,1717,2,0,1715,2902
2696,32444,240,Q,6022,4,0,6018,2902
2696,32445,240,Q,3608,1,0,3607,2902
2697,32448,0,Q,93,0,0,93,2902
2698,32487,240,Q,5539,2,0,5537,2902
2699,32499,0,Q,357,0,0,357,2902
2700,32523,0,Q,1733,0,0,1733,2902
2700,32527,66,Q,1139,2,0,1137,2902
2700,32533,240,Q,9614,7,0,9607,2902
2701,32575,240,Q,4768,8,0,4760,2902
2702,32584,0,Q,769,0,0,769,2902
2703,32598,0,Q,1444,3,0,1441,2902
2703,32610,0,Q,4970,1,0,4969,2902
2703,32628,240,Q,20197,6,0,20191,2902
2704,32642,0,Q,260,0,0,260,2902
2704,32648,240,Q,10785,2,0,10783,2902
2705,32672,240,Q,11510,11,0,11499,2902
2706,32705,240,Q,97,0,0,97,2902
2707,32725,66,Q,10439,7,0,10432,2902
2707,32726,66,Q,9443,10,0,9433,2902
2707,32743,240,Q,3377,0,0,3377,2902
2708,32774,240,Q,4511,4,0,4507,2902
2709,32802,240,Q,18477,10,0,18467,2902
2710,32813,66,Q,32855,22,0,32833,2902
2711,32843,66,Q,14087,4,0,14083,2902
2711,32847,240,Q,2629,0,0,2629,2902
2712,32859,0,Q,1032,0,0,1032,2902
2713,32893,66,Q,10864,1,0,10863,2902
2714,32918,66,Q,21698,10,0,21688,2902
2714,32922,66,Q,470,0,0,470,2902
2715,32933,0,Q,744,0,0,744,2902
2715,32939,0,Q,740,2,0,738,2902
2715,32942,0,Q,2234,1,0,2233,2902
2715,32961,240,Q,4102,3,0,4099,2902
2717,33026,240,Q,2372,0,0,2372,2902
2720,33117,66,Q,5826,6,0,5820,2902
2720,33118,66,Q,2848,3,0,2845,2902
2720,33122,66,Q,7000,1,0,6999,2902
2720,33128,240,Q,1400,0,0,1400,2902
2720,33133,240,Q,2301,1,0,2300,2902
2721,33166,240,Q,3793,6,0,3787,2902
2721,33167,240,Q,31,0,0,31,2902
2723,33217,0,Q,169,0,0,169,2902
2723,33221,66,Q,16799,14,0,16785,2902
2724,33238,0,Q,38,0,0,38,2902
2724,33249,0,Q,1151,0,0,1151,2902
2724,33257,66,Q,2226,0,0,2226,2902
2724,33259,66,Q,1373,0,0,1373,2902
2725,33304,240,Q,10,0,0,10,2902
2726,33325,66,Q,2657,1,0,2656,2902
2726,33341,240,Q,5984,4,0,5980,2902
2727,33376,240,Q,7369,4,0,7365,2902
2728,33424,240,Q,993,0,0,993,2902
2729,33451,66,Q,9231,8,0,9223,2902
2729,33455,240,Q,1127,0,0,1127,2902
2729,33458,240,Q,814,0,0,814,2902
2729,33459,240,Q,10125,7,0,10118,2902
2730,33480,66,Q,4096,5,0,4091,2902
2730,33493,240,Q,4943,0,0,4943,2902
2731,33516,0,Q,247,0,0,247,2902
2731,33520,0,Q,154,2,0,152,2902
2731,33536,66,Q,1007,0,0,1007,2902
2731,33538,66,Q,9782,2,0,9780,2902
2731,33540,240,Q,2176,0,0,2176,2902
2733,33580,0,Q,2036,1,0,2035,2902
