K,Id,Parent,ParentType,N,Ns,Nr,Nq,T
12677,32527,0,S,18719,18719,0,0,15721
12678,32542,0,S,37276,37276,0,0,15721
12689,32920,0,S,13976,13976,0,0,15721
12697,33185,0,S,39384,39384,0,0,15721
12703,33358,0,S,13746,13746,0,0,15721
12724,34021,0,S,38370,38370,0,0,15721
12729,34181,0,S,9341,9341,0,0,15721
12740,34582,0,S,7453,7453,0,0,15721
12758,35162,0,S,28867,28867,0,0,15721
12763,35301,0,S,24212,24212,0,0,15721
12764,35347,0,S,65108,65108,0,0,15721
12771,35599,0,S,72021,72021,0,0,15721
12772,35639,642,S,330988,330988,0,0,15721
12777,35804,0,S,5468,5468,0,0,15721
12778,35819,0,S,172202,172202,0,0,15721
12782,35978,0,S,17607,17607,0,0,15721
12799,36534,0,S,11405,11405,0,0,15721
12815,37154,0,S,87238,87238,0,0,15721
12817,37230,0,S,32584,32584,0,0,15721
12823,37424,0,S,7931,7931,0,0,15721
12832,37733,0,S,3494,3494,0,0,15721
12840,38020,0,S,146884,146884,0,0,15721
12842,38120,0,S,28658,28658,0,0,15721
12845,38227,0,S,29374,29374,0,0,15721
12845,38244,235,S,748286,748286,0,0,15721
12847,38298,0,S,6320,6320,0,0,15721
12848,38348,0,S,14292,14292,0,0,15721
12853,38518,0,S,40759,40759,0,0,15721
12859,38728,0,S,19422,19422,0,0,15721
12865,38910,0,S,23660,23660,0,0,15721
12865,38934,0,S,2037,2037,0,0,15721
12865,38946,235,S,538555,538555,0,0,15721
12870,39128,0,S,18270,18270,0,0,15721
12870,39130,0,S,75661,75661,0,0,15721
12872,39183,0,S,106783,106783,0,0,15721
12873,39240,0,S,20566,20566,0,0,15721
12874,39272,642,S,175508,175508,0,0,15721
12878,39432,235,S,810680,810680,0,0,15721
12893,39993,0,S,17450,17450,0,0,15721
12896,40106,0,S,16280,16280,0,0,15721
12906,40478,0,S,13020,13020,0,0,15721
12924,41151,0,S,48794,48794,0,0,15721
12926,41227,0,S,48692,48692,0,0,15721
12926,41233,0,S,23381,23381,0,0,15721
12960,42618,0,S,54981,54981,0,0,15721
12981,43507,0,S,1012,1012,0,0,15721
12991,43933,0,S,15027,15027,0,0,15721
12998,44208,0,S,39660,39660,0,0,15721
12998,44212,0,S,104450,104450,0,0,15721
13012,44832,0,S,18716,18716,0,0,15721
13015,44978,0,S,65271,65271,0,0,15721
13017,45090,0,S,76304,76304,0,0,15721
13024,45379,235,S,787448,787446,0,2,15721
13033,45776,0,S,9853,9853,0,0,15721
13035,45855,0,S,45193,45193,0,0,15721
13041,46124,455,S,139479,139479,0,0,15721
13046,46317,235,S,32715,32715,0,0,15721
13048,46373,0,S,23866,23866,0,0,15721
13058,46847,0,S,9679,9679,0,0,15721
13059,46882,0,S,7263,7263,0,0,15721
13062,47028,0,S,15089,15089,0,0,15721
13063,47066,0,S,39774,39774,0,0,15721
13073,47489,0,S,19680,19680,0,0,15721
13073,47495,0,S,11636,11636,0,0,15721
13074,47542,0,S,9777,9777,0,0,15721
13084,47957,0,S,21592,21592,0,0,15721
13084,47963,0,S,11196,11196,0,0,15721
13089,48163,0,S,49450,49450,0,0,15721
13090,48234,0,S,543,543,0,0,15721
13103,48837,0,S,4214,4214,0,0,15721
13104,48916,0,S,8630,8630,0,0,15721
13105,48946,0,S,42802,42802,0,0,15721
13108,49079,0,S,13172,13172,0,0,15721
13111,49220,0,S,46279,46279,0,0,15721
13113,49329,235,S,55300,55300,0,0,15721
13119,49597,0,S,16846,16846,0,0,15721
13121,49718,0,S,57258,57258,0,0,15721
13127,49965,0,S,3347,3347,0,0,15721
13128,50007,0,S,32804,32804,0,0,15721
13131,50180,235,S,303688,303688,0,0,15721
13136,50404,0,S,91286,91286,0,0,15721
13139,50552,235,S,81005,81005,0,0,15721
13140,50583,0,S,11357,11357,0,0,15721
13143,50758,0,S,74542,74516,0,26,15721
13150,51080,0,S,10811,10811,0,0,15721
13151,51143,642,S,221758,221756,0,2,15721
13159,51545,0,S,1397,1397,0,0,15721
13162,51692,0,S,52522,52522,0,0,15721
13165,51848,0,S,11143,11143,0,0,15721
13168,52006,0,S,2975,2975,0,0,15721
13168,52009,0,S,2474,2474,0,0,15721
13175,52336,0,S,49236,49236,0,0,15721
13177,52406,0,S,30264,30264,0,0,15721
13177,52420,0,S,34681,34681,0,0,15721
13180,52574,0,S,22733,22733,0,0,15721
13188,53009,0,S,42280,42280,0,0,15721
13199,53569,235,S,9280,9280,0,0,15721
13200,53578,0,S,6032,6032,0,0,15721
13203,53743,0,S,7818,7818,0,0,15721
13206,53897,0,S,38251,38251,0,0,15721
13210,54134,0,S,8720,8720,0,0,15721
13218,54547,0,S,3679,3679,0,0,15721
13218,54580,235,S,502232,502232,0,0,15721
13219,54601,0,S,602,602,0,0,15721
13220,54663,0,S,55196,55196,0,0,15721
13240,55771,0,S,13990,13990,0,0,15721
13241,55826,235,S,398823,398819,0,4,15721
13248,56197,0,S,41030,41030,0,0,15721
13248,56219,235,S,26300,26300,0,0,15721
13249,56223,0,S,1724,1724,0,0,15721
13250,56323,642,S,85349,85349,0,0,15721
13273,57525,0,S,462,462,0,0,15721
13273,57543,235,S,139045,139045,0,0,15721
13275,57657,1337,S,33437,33437,0,0,15721
13281,57997,0,S,55288,55288,0,0,15721
13287,58323,0,S,5315,5315,0,0,15721
13289,58445,0,S,2784,2784,0,0,15721
13292,58649,0,S,66035,66035,0,0,15721
13306,59413,0,S,6634,6634,0,0,15721
13310,59706,1880,S,124670,124669,0,1,15721
13311,59738,0,S,25316,25316,0,0,15721
13314,59908,0,S,11035,11035,0,0,15721
13315,60001,1880,S,97752,97752,0,0,15721
13333,61010,0,S,11899,11899,0,0,15721
13336,61187,0,S,2621,2621,0,0,15721
13339,61350,0,S,2932,2932,0,0,15721
13342,61515,0,S,4135,4135,0,0,15721
13343,61556,0,S,2681,2681,0,0,15721
13344,61609,0,S,51263,51263,0,0,15721
13346,61744,0,S,1195,1195,0,0,15721
13348,61885,0,S,4357,4357,0,0,15721
13351,62066,0,S,25222,25222,0,0,15721
13352,62129,0,S,45931,45931,0,0,15721
13355,62279,235,S,268870,268870,0,0,15721
13362,62627,0,S,36098,36098,0,0,15721
13372,63226,0,S,88740,88740,0,0,15721
13383,63925,0,S,21561,21561,0,0,15721
13384,63957,0,S,17183,17183,0,0,15721
13390,64403,235,S,228188,228188,0,0,15721
13394,64611,0,S,49032,49032,0,0,15721
13395,64715,642,S,45573,45573,0,0,15721
13396,64757,0,S,13751,13751,0,0,15721
13398,64892,0,S,1505,1505,0,0,15721
13399,64940,0,S,10910,10910,0,0,15721
13400,65040,0,S,39168,39168,0,0,15721
13402,65146,0,S,8452,8452,0,0,15721
13402,65149,0,S,69716,69716,0,0,15721
13402,65152,0,S,21905,21905,0,0,15721
13403,65236,681,S,49103,49103,0,0,15721
13406,65395,0,S,17930,17930,0,0,15721
13409,65608,235,S,144266,144266,0,0,15721
13411,65735,0,S,17449,17449,0,0,15721
13418,66158,0,S,4300,4300,0,0,15721
13419,66217,0,S,11991,11991,0,0,15721
13419,66250,0,S,20079,20079,0,0,15721
13423,66507,0,S,4237,4237,0,0,15721
13429,66836,0,S,30874,30874,0,0,15721
13432,67047,0,S,18650,18650,0,0,15721
13433,67113,0,S,878,878,0,0,15721
13441,67607,0,S,17561,17561,0,0,15721
13442,67679,0,S,19379,19379,0,0,15721
13449,68131,0,S,39108,39108,0,0,15721
13460,68977,235,S,2174,2174,0,0,15721
13465,69299,0,S,65,65,0,0,15721
13466,69329,0,S,15333,15333,0,0,15721
13466,69349,0,S,4846,4846,0,0,15721
13467,69432,0,S,5731,5731,0,0,15721
13469,69544,0,S,71703,71703,0,0,15721
13475,70044,235,S,75682,75682,0,0,15721
13476,70101,0,S,23691,23691,0,0,15721
13477,70190,235,S,97717,97717,0,0,15721
13478,70246,0,S,20822,20822,0,0,15721
13479,70285,0,S,23270,23270,0,0,15721
13479,70292,0,S,19960,19960,0,0,15721
13480,70351,0,S,3635,3635,0,0,15721
13480,70388,0,S,2720,2720,0,0,15721
13482,70495,0,S,10406,10406,0,0,15721
13483,70621,235,S,7838,7838,0,0,15721
13486,70849,642,S,81000,81000,0,0,15721
13488,70928,0,S,2066,2066,0,0,15721
13494,71372,0,S,405,405,0,0,15721
13501,71836,0,S,252,252,0,0,15721
13502,71923,0,S,5219,5219,0,0,15721
13503,72019,235,S,12324,12324,0,0,15721
13503,72026,642,S,40483,40483,0,0,15721
13507,72299,0,S,16097,16097,0,0,15721
13517,73064,235,S,47702,47702,0,0,15721
13522,73448,235,S,29280,29280,0,0,15721
13536,74414,0,S,13189,13189,0,0,15721
13538,74543,0,S,15191,15191,0,0,15721
13538,74608,235,S,24111,24111,0,0,15721
13540,74716,0,S,11300,11300,0,0,15721
13549,75369,0,S,7442,7442,0,0,15721
13552,75610,9093,S,108333,108298,0,35,15721
13553,75676,642,S,59957,59934,0,23,15721
13555,75820,4672,S,5701,5701,0,0,15721
13557,75930,0,S,3756,3756,0,0,15721
13559,76036,0,S,2447,2447,0,0,15721
13562,76301,235,S,84913,84913,0,0,15721
13565,76468,0,S,54724,54724,0,0,15721
13565,76483,0,S,29635,29635,0,0,15721
13568,76723,0,S,28707,28707,0,0,15721
13569,76802,0,S,11809,11809,0,0,15721
13569,76811,235,S,25603,25603,0,0,15721
13574,77177,0,S,3954,3954,0,0,15721
13576,77360,235,S,3772,3772,0,0,15721
13583,77819,0,S,6491,6491,0,0,15721
13584,77878,0,S,4023,4023,0,0,15721
13592,78541,235,S,49088,49088,0,0,15721
13593,78592,0,S,2255,2255,0,0,15721
13594,78666,0,S,1684,1684,0,0,15721
13597,78946,0,S,4847,4847,0,0,15721
13604,79445,0,S,10824,10824,0,0,15721
13607,79660,0,S,6110,6110,0,0,15721
13613,80164,0,S,27774,27774,0,0,15721
13614,80217,0,S,3349,3349,0,0,15721
13616,80458,0,S,47120,47120,0,0,15721
13617,80529,0,S,2815,2815,0,0,15721
13623,81056,235,S,60125,60125,0,0,15721
13624,81131,235,S,26126,26126,0,0,15721
13625,81202,235,S,14836,14836,0,0,15721
13626,81239,0,S,9995,9995,0,0,15721
13630,81518,0,S,528,528,0,0,15721
13630,81542,0,S,2766,2766,0,0,15721
13633,81794,0,S,5697,5697,0,0,15721
13633,81813,642,S,9776,9776,0,0,15721
13634,81834,0,S,519,519,0,0,15721
13639,82226,0,S,11852,11852,0,0,15721
13642,82525,235,S,19776,19776,0,0,15721
13647,82932,235,S,96977,96977,0,0,15721
13649,83054,0,S,17124,17124,0,0,15721
13652,83309,0,S,3334,3334,0,0,15721
13653,83383,0,S,3409,3409,0,0,15721
13659,83862,0,S,13321,13321,0,0,15721
13659,83890,0,S,16114,16114,0,0,15721
13662,84101,0,S,8450,8450,0,0,15721
13666,84478,0,S,10302,10302,0,0,15721
13667,84531,0,S,4644,4644,0,0,15721
13667,84607,1880,S,36615,36615,0,0,15721
13671,84908,235,S,61639,61639,0,0,15721
13673,85066,0,S,27732,27732,0,0,15721
13674,85156,0,S,4218,4218,0,0,15721
13677,85438,642,S,132419,132419,0,0,15721
13682,85778,0,S,4914,4914,0,0,15721
13682,85848,235,S,16618,16618,0,0,15721
