fraction_quasi
1.5831191003492907e-05
1.2841233817476722e-05
6.597121624341625e-06
7.011029022837996e-06
6.730994019731918e-06
1.0845451136732464e-05
7.53936093066418e-06
1.2311900758429675e-05
7.337837566819276e-06
7.569032673237951e-06
9.905027929648102e-06
9.172235616118865e-06
5.574314702593576e-06
8.729036130553411e-06
9.477340519516e-06
7.053587797855426e-06
6.04102870225393e-06
6.211752555746994e-06
1.070785655977739e-05
7.247639292239345e-06
7.664060174322793e-06
6.286090112681027e-06
1.195444500198047e-05
7.671397675425935e-06
6.62137898923713e-06
1.3986517026242784e-05
1.2685832423186772e-05
8.10565348352417e-06
7.63294104687765e-06
6.625762909504796e-06
8.1089010771215e-06
1.4409495452355976e-05
6.822254624301861e-06
4.716033208688304e-06
2.8878067259899358e-05
2.7377016504686685e-05
6.3986881641090005e-06
8.316052297559286e-06
1.1969556914014923e-05
5.2743285601127315e-06
9.929769742329671e-06
7.196612204618574e-06
7.939035321581312e-06
5.695672927332772e-06
9.338886701649604e-06
1.1441883496470159e-05
1.9092805249501434e-05
5.159083799309124e-06
4.4155766704230337e-05
7.278781220067408e-06
9.57271655813586e-06
1.0308370953974495e-05
2.504080602539708e-05
7.666819555750115e-06
6.306536021669736e-06
9.610545568246334e-06
6.5180118155537235e-06
6.336242293139278e-06
6.631710575820027e-06
7.080083534852202e-06
6.326701831491917e-06
1.1087788532931553e-05
7.2310422871476654e-06
9.376763397402772e-06
6.694533991948252e-06
5.926828908797889e-06
2.4707771971985626e-05
1.0006438603286693e-05
1.2878783984829923e-05
4.595563957164583e-06
9.155811382295517e-06
9.801022135843382e-06
0.00010543269133922788
7.108379662182637e-06
7.669213254714364e-06
6.9350380801860675e-06
8.468137997483052e-06
6.410779501626555e-06
8.7433116560834e-06
7.897878093261735e-06
3.932006089592512e-06
7.994729233591383e-06
1.031102272260556e-05
7.852838092572786e-06
1.141524374187354e-05
6.889493014440095e-06
6.850527672166246e-06
9.216539088207515e-06
8.050317618591016e-06
8.658530379644835e-06
1.441429446885111e-05
7.018325815250525e-06
9.495481781896666e-06
1.2126909032789943e-05
6.7157361678923775e-06
9.558665035127923e-06
5.706182229036021e-06
9.273430488067091e-06
9.771531228008504e-06
5.804779175259491e-06
