K,Id,Parent,ParentType,N,Ns,Nr,Nq,T
0,0,-1,Sens,113781600,19060,81930580,31831960,2662
1217,34,0,S,1875843093,148308,1618925129,256769656,2662
1239,40,0,S,1235607084,74235,1107662948,127869901,2662
1283,62,0,S,240784792,86674,91801099,148897019,2662
1314,81,0,S,534718465,0,534718465,0,2662
1383,164,0,S,24470645,14154,3,24456488,2662
2194,30364,0,R,268907,0,268907,0,2662
2283,30409,34,R,3346943,0,3346943,0,2662
2303,30430,0,R,54596,0,54596,0,2662
2303,30431,34,R,1957469,0,1957469,0,2662
2322,30446,0,R,46778,0,46778,0,2662
2332,30458,0,R,115275,0,115275,0,2662
2344,30489,164,Q,660277,286,2,659989,2662
2345,30492,30475,R,44729,0,44729,0,2662
2349,30499,0,R,595,0,595,0,2662
2360,30521,34,R,242948,0,242948,0,2662
2377,30560,34,R,5772,0,5772,0,2662
2380,30569,34,R,82081,0,82081,0,2662
2384,30582,34,R,29572,0,29572,0,2662
2385,30586,34,R,5175,0,5175,0,2662
2386,30593,0,R,26019,0,26019,0,2662
2388,30598,0,R,4073,0,4073,0,2662
2392,30617,34,R,23266,0,23266,0,2662
2393,30625,34,R,63002,0,63002,0,2662
2393,30627,34,R,51113,0,51113,0,2662
2397,30647,40,R,128251,0,128251,0,2662
2400,30663,34,R,118852,0,118852,0,2662
2403,30680,81,R,349639,0,349639,0,2662
2405,30688,62,Q,43334,26,0,43308,2662
2405,30689,62,Q,31268,24,0,31244,2662
2407,30698,34,R,8191,0,8191,0,2662
2410,30725,40,R,709,0,709,0,2662
2415,30750,34,R,65670,0,65670,0,2662
2418,30770,81,R,22796,0,22796,0,2662
2422,30784,0,Q,4241,0,0,4241,2662
2423,30794,34,R,12971,0,12971,0,2662
2423,30797,34,R,14791,0,14791,0,2662
2425,30810,34,R,155531,0,155531,0,2662
2427,30828,40,R,53488,0,53488,0,2662
2427,30832,81,R,29970,0,29970,0,2662
2430,30852,40,R,9691,0,9691,0,2662
2433,30877,40,R,6725,0,6725,0,2662
2438,30921,81,R,56276,0,56276,0,2662
2439,30928,34,R,12670,0,12670,0,2662
2442,30957,40,R,9249,0,9249,0,2662
2443,30962,0,R,6639,0,6639,0,2662
2446,31000,34,R,29116,0,29116,0,2662
2446,31002,34,R,14046,0,14046,0,2662
2447,31010,0,Q,503,0,0,503,2662
2447,31016,34,R,19030,0,19030,0,2662
2448,31020,0,Q,1297,0,0,1297,2662
2449,31036,34,R,3347,0,3347,0,2662
2450,31048,34,R,6916,0,6916,0,2662
2453,31098,34,R,18631,0,18631,0,2662
2455,31121,34,R,2964,0,2964,0,2662
2455,31122,34,R,3218,0,3218,0,2662
2455,31126,81,R,790,0,790,0,2662
2456,31143,62,Q,1385,1,0,1384,2662
2458,31162,40,R,3432,0,3432,0,2662
2458,31163,40,R,15529,0,15529,0,2662
2459,31181,40,R,16173,0,16173,0,2662
2461,31208,34,R,6163,0,6163,0,2662
2461,31215,62,R,1661,0,1661,0,2662
2461,31216,81,R,7916,0,7916,0,2662
2462,31221,34,R,45586,0,45586,0,2662
2462,31225,62,R,7521,0,7521,0,2662
2463,31234,34,R,1769,0,1769,0,2662
2463,31239,62,Q,3604,3,0,3601,2662
2465,31257,0,R,560,0,560,0,2662
2465,31270,34,R,5886,0,5886,0,2662
2465,31274,40,R,32025,0,32025,0,2662
2465,31276,40,R,9951,0,9951,0,2662
2466,31287,40,R,7115,0,7115,0,2662
2467,31302,81,R,16032,0,16032,0,2662
2468,31325,81,R,4151,0,4151,0,2662
2469,31339,34,R,1215,0,1215,0,2662
2469,31351,40,R,7464,0,7464,0,2662
2470,31359,34,R,1590,0,1590,0,2662
2470,31360,34,R,10791,0,10791,0,2662
2470,31362,40,R,13977,0,13977,0,2662
2470,31364,40,R,1515,0,1515,0,2662
2471,31378,34,R,280,0,280,0,2662
2471,31380,34,R,3006,0,3006,0,2662
2471,31383,34,R,14836,0,14836,0,2662
2471,31393,40,R,7383,0,7383,0,2662
2472,31413,40,R,2886,0,2886,0,2662
2473,31417,0,R,1374,0,1374,0,2662
2475,31459,40,R,2510,0,2510,0,2662
2475,31460,40,R,11535,0,11535,0,2662
2477,31507,40,R,15279,0,15279,0,2662
2478,31543,81,R,144,0,144,0,2662
2479,31565,40,R,3782,0,3782,0,2662
2479,31575,62,Q,6284,8,0,6276,2662
2480,31603,62,Q,6504,2,0,6502,2662
2481,31624,40,R,1356,0,1356,0,2662
2481,31627,62,R,1762,0,1762,0,2662
2481,31631,81,R,4713,0,4713,0,2662
2482,31635,0,Q,79,0,0,79,2662
2482,31639,0,R,23,0,23,0,2662
2482,31653,81,R,1315,0,1315,0,2662
2485,31713,40,R,14788,0,14788,0,2662
2485,31716,81,R,8758,0,8758,0,2662
2486,31740,40,R,766,0,766,0,2662
2487,31748,0,R,2790,0,2790,0,2662
2487,31760,40,R,1449,0,1449,0,2662
2488,31768,0,Q,1275,0,0,1275,2662
2488,31775,34,Q,2207,1,0,2206,2662
2489,31818,40,R,8344,0,8344,0,2662
2490,31850,81,R,3937,0,3937,0,2662
2494,31945,34,Q,3033,3,0,3030,2662
2494,31970,81,R,27,0,27,0,2662
2495,31976,34,Q,759,2,0,757,2662
2495,31990,34,R,5360,0,5360,0,2662
2495,31993,40,R,909,0,909,0,2662
2495,31999,62,R,3007,0,3007,0,2662
2497,32034,34,Q,1704,3,0,1701,2662
2497,32044,34,R,2859,0,2859,0,2662
2497,32048,34,R,779,0,779,0,2662
2498,32082,40,R,2823,0,2823,0,2662
2498,32087,40,R,9680,0,9680,0,2662
2498,32093,81,R,6,0,6,0,2662
2498,32097,81,R,11980,0,11980,0,2662
2499,32117,34,R,6665,0,6665,0,2662
2500,32145,34,R,927,0,927,0,2662
2500,32148,34,R,2328,0,2328,0,2662
2500,32167,81,R,7929,0,7929,0,2662
2501,32175,34,R,1954,0,1954,0,2662
2501,32183,34,R,3306,0,3306,0,2662
2501,32187,40,R,4227,0,4227,0,2662
2501,32192,81,R,41,0,41,0,2662
2503,32243,34,R,9163,0,9163,0,2662
2503,32244,34,R,3504,0,3504,0,2662
2503,32252,40,R,79,0,79,0,2662
2504,32291,34,R,1832,0,1832,0,2662
2504,32297,40,R,1545,0,1545,0,2662
2504,32299,40,R,5076,0,5076,0,2662
2505,32333,40,R,1931,0,1931,0,2662
2506,32364,34,R,1292,0,1292,0,2662
2506,32393,81,R,6387,0,6387,0,2662
2508,32459,40,R,294,0,294,0,2662
2508,32468,81,R,1809,0,1809,0,2662
2509,32480,34,R,513,0,513,0,2662
2509,32481,34,R,156,0,156,0,2662
2509,32514,62,R,1263,0,1263,0,2662
2510,32526,34,Q,2520,0,0,2520,2662
2510,32530,34,R,1275,0,1275,0,2662
2510,32550,40,R,1195,0,1195,0,2662
2511,32591,62,Q,960,0,0,960,2662
2512,32604,34,Q,97,1,0,96,2662
2512,32611,34,R,6193,0,6193,0,2662
2512,32622,40,R,169,0,169,0,2662
2512,32634,40,R,3371,0,3371,0,2662
2513,32653,34,R,3575,0,3575,0,2662
2513,32661,34,R,4388,0,4388,0,2662
2513,32687,40,R,3388,0,3388,0,2662
2513,32694,81,R,2547,0,2547,0,2662
2513,32696,81,R,67,0,67,0,2662
2514,32741,81,R,1614,0,1614,0,2662
2515,32772,34,R,1072,0,1072,0,2662
2515,32774,34,R,657,0,657,0,2662
2515,32782,40,R,791,0,791,0,2662
2515,32786,40,R,215,0,215,0,2662
2516,32825,40,R,1444,0,1444,0,2662
2516,32845,81,R,1123,0,1123,0,2662
2517,32857,0,R,728,0,728,0,2662
2517,32867,34,R,1357,0,1357,0,2662
2518,32928,62,Q,873,0,0,873,2662
2519,32944,34,R,1766,0,1766,0,2662
2519,32952,34,R,2837,0,2837,0,2662
2519,32958,34,R,1530,0,1530,0,2662
2519,32974,62,Q,2690,1,0,2689,2662
2520,32994,0,R,552,0,552,0,2662
2520,32995,0,R,281,0,281,0,2662
2520,33011,34,R,2195,0,2195,0,2662
2520,33015,34,R,1785,0,1785,0,2662
2520,33019,34,R,3527,0,3527,0,2662
2520,33025,40,R,709,0,709,0,2662
2520,33027,40,R,2076,0,2076,0,2662
2520,33035,40,R,548,0,548,0,2662
2521,33102,62,Q,1556,2,0,1554,2662
2521,33112,81,R,2049,0,2049,0,2662
2522,33134,34,R,2224,0,2224,0,2662
2522,33136,34,R,48,0,48,0,2662
2522,33140,34,R,596,0,596,0,2662
2522,33163,40,R,1066,0,1066,0,2662
2522,33169,62,Q,2977,2,0,2975,2662
2522,33177,81,R,603,0,603,0,2662
2523,33197,34,R,855,0,855,0,2662
2523,33214,34,R,1026,0,1026,0,2662
2523,33219,34,R,124,0,124,0,2662
2523,33221,40,Q,305,0,0,305,2662
2523,33235,40,R,3426,0,3426,0,2662
2523,33241,62,Q,767,0,0,767,2662
2524,33293,40,R,372,0,372,0,2662
2524,33303,62,R,323,0,323,0,2662
2524,33310,81,R,1122,0,1122,0,2662
2524,33313,164,Q,949,2,0,947,2662
2525,33327,34,Q,3091,1,0,3090,2662
2525,33368,40,R,418,0,418,0,2662
2526,33392,34,R,335,0,335,0,2662
2526,33412,40,R,865,0,865,0,2662
2526,33422,62,Q,211,0,0,211,2662
2526,33427,81,R,661,0,661,0,2662
2527,33433,0,R,420,0,420,0,2662
2527,33436,34,Q,2649,2,0,2647,2662
2527,33439,34,Q,2542,1,0,2541,2662
2527,33461,40,R,277,0,277,0,2662
2528,33496,0,R,943,0,943,0,2662
2528,33501,34,R,81,0,81,0,2662
2528,33519,40,R,516,0,516,0,2662
2528,33538,81,R,73,0,73,0,2662
2528,33540,81,R,161,0,161,0,2662
2529,33561,34,R,2490,0,2490,0,2662
2529,33577,34,R,1402,0,1402,0,2662
2529,33606,81,R,299,0,299,0,2662
2530,33607,0,Q,1249,0,0,1249,2662
2530,33626,34,R,1914,0,1914,0,2662
2530,33669,81,R,1262,0,1262,0,2662
2530,33672,81,R,941,0,941,0,2662
2531,33698,34,R,1205,0,1205,0,2662
2531,33706,34,R,49,0,49,0,2662
2532,33763,34,R,343,0,343,0,2662
2532,33767,34,R,343,0,343,0,2662
2532,33778,40,R,481,0,481,0,2662
2532,33794,81,R,3336,0,3336,0,2662
2533,33830,34,R,1076,0,1076,0,2662
2533,33831,34,R,46,0,46,0,2662
2533,33833,40,R,389,0,389,0,2662
2533,33845,40,R,1088,0,1088,0,2662
2533,33849,40,R,249,0,249,0,2662
2533,33850,40,R,669,0,669,0,2662
2533,33868,81,R,213,0,213,0,2662
2533,33871,81,R,1359,0,1359,0,2662
2534,33873,0,Q,403,0,0,403,2662
2534,33907,34,R,292,0,292,0,2662
2534,33934,81,R,1048,0,1048,0,2662
2534,33935,81,R,680,0,680,0,2662
2534,33937,81,R,792,0,792,0,2662
2534,33940,81,R,1369,0,1369,0,2662
2535,33950,0,Q,18,0,0,18,2662
2535,33955,0,R,587,0,587,0,2662
2535,33962,34,R,3745,0,3745,0,2662
2535,34016,81,R,189,0,189,0,2662
2536,34050,34,R,1015,0,1015,0,2662
2536,34067,40,R,315,0,315,0,2662
2536,34070,40,R,226,0,226,0,2662
2536,34071,40,R,9,0,9,0,2662
2537,34103,0,R,410,0,410,0,2662
2537,34106,34,Q,3489,4,0,3485,2662
2537,34121,34,R,389,0,389,0,2662
2537,34161,40,R,1276,0,1276,0,2662
2537,34163,40,R,1257,0,1257,0,2662
2537,34172,81,R,4,0,4,0,2662
2538,34193,34,R,131,0,131,0,2662
2538,34195,34,R,421,0,421,0,2662
2538,34231,81,R,1835,0,1835,0,2662
2539,34275,34,R,497,0,497,0,2662
2539,34282,34,R,465,0,465,0,2662
2539,34298,40,R,91,0,91,0,2662
2539,34300,40,R,220,0,220,0,2662
2539,34310,81,R,249,0,249,0,2662
2540,34384,81,R,1015,0,1015,0,2662
2541,34399,0,R,1263,0,1263,0,2662
2541,34402,0,R,557,0,557,0,2662
2541,34403,34,Q,73,0,0,73,2662
2541,34406,34,Q,231,0,0,231,2662
2541,34427,34,R,1951,0,1951,0,2662
2541,34435,34,R,1174,0,1174,0,2662
2541,34436,34,R,249,0,249,0,2662
2541,34449,40,Q,6,0,0,6,2662
2541,34468,40,R,95,0,95,0,2662
2541,34494,81,R,653,0,653,0,2662
2542,34509,34,Q,682,1,0,681,2662
2542,34515,34,R,117,0,117,0,2662
2542,34519,34,R,64,0,64,0,2662
2542,34535,34,R,167,0,167,0,2662
2542,34554,40,R,1048,0,1048,0,2662
2543,34581,34,R,138,0,138,0,2662
2543,34598,34,R,524,0,524,0,2662
2543,34631,40,R,1182,0,1182,0,2662
2543,34645,40,R,98,0,98,0,2662
2543,34648,62,Q,1660,2,0,1658,2662
2543,34658,81,R,50,0,50,0,2662
2544,34669,34,Q,2007,1,0,2006,2662
2544,34698,40,R,417,0,417,0,2662
2544,34710,40,R,89,0,89,0,2662
2544,34731,81,R,119,0,119,0,2662
2544,34733,81,R,35,0,35,0,2662
2544,34741,81,R,1394,0,1394,0,2662
2544,34743,81,R,957,0,957,0,2662
2545,34766,34,R,601,0,601,0,2662
2545,34787,34,R,388,0,388,0,2662
2545,34804,40,R,1760,0,1760,0,2662
2545,34815,40,R,1173,0,1173,0,2662
2545,34832,81,R,18,0,18,0,2662
2546,34856,34,R,448,0,448,0,2662
2546,34858,34,R,234,0,234,0,2662
2546,34879,34,R,77,0,77,0,2662
2546,34889,40,R,218,0,218,0,2662
2546,34900,40,R,526,0,526,0,2662
2546,34906,40,R,232,0,232,0,2662
2547,34927,0,R,354,0,354,0,2662
2547,34983,40,R,2130,0,2130,0,2662
2547,35005,81,R,1281,0,1281,0,2662
2547,35014,81,R,8,0,8,0,2662
2548,35025,0,R,377,0,377,0,2662
2548,35031,34,R,13,0,13,0,2662
2548,35049,34,R,457,0,457,0,2662
2548,35060,34,R,1683,0,1683,0,2662
2548,35098,62,Q,118,0,0,118,2662
2548,35101,62,R,1073,0,1073,0,2662
2548,35104,81,R,1051,0,1051,0,2662
2549,35133,34,R,390,0,390,0,2662
2549,35135,34,R,396,0,396,0,2662
2549,35141,34,R,138,0,138,0,2662
2549,35142,34,R,13,0,13,0,2662
2549,35147,34,R,488,0,488,0,2662
2549,35154,34,R,597,0,597,0,2662
2549,35177,40,R,573,0,573,0,2662
2549,35179,40,R,890,0,890,0,2662
2549,35194,81,R,1477,0,1477,0,2662
2550,35213,34,R,1231,0,1231,0,2662
2550,35216,34,R,306,0,306,0,2662
2550,35235,34,R,618,0,618,0,2662
2550,35236,34,R,370,0,370,0,2662
2550,35247,34,R,523,0,523,0,2662
2550,35252,34,R,549,0,549,0,2662
2550,35283,62,R,1164,0,1164,0,2662
2551,35313,34,Q,687,0,0,687,2662
2551,35330,34,R,290,0,290,0,2662
2551,35332,34,R,670,0,670,0,2662
2551,35335,34,R,872,0,872,0,2662
2551,35337,34,R,119,0,119,0,2662
2551,35369,40,R,275,0,275,0,2662
2551,35372,40,R,922,0,922,0,2662
2551,35397,164,Q,217,0,0,217,2662
2552,35407,0,R,243,0,243,0,2662
2552,35412,34,Q,16,0,0,16,2662
2552,35414,34,Q,153,0,0,153,2662
2552,35435,34,R,24,0,24,0,2662
2552,35443,34,R,109,0,109,0,2662
2552,35445,34,R,97,0,97,0,2662
2552,35453,40,Q,389,0,0,389,2662
2552,35455,40,R,25,0,25,0,2662
2552,35492,81,R,2934,0,2934,0,2662
2552,35501,81,R,99,0,99,0,2662
2553,35519,34,Q,20,0,0,20,2662
2553,35542,34,R,2217,0,2217,0,2662
2553,35544,34,R,303,0,303,0,2662
